Sr. No.,Academic Year,Month od school onboarding,Region,City,Channel,POC,School Name,School and Program,Program,Grade,Board,Fees Range,Strength Range,Strength,Rev/ student,Sum Product,Total Business,Category,Full year/ mid year
114,25-26,Feb'25,West,Mumbai,Direct,Rohit Gadre,Cambria International School Kalyan ,Cambria International School Kalyan -Financial Literacy,Financial Literacy,,IB,60K-90K,Less than 300,180,2400,432000,4.32,Renewal-25-26,Full year
115,25-26,Feb'25,South 1,Bangalore,Referral,Sudha,Brilliant School ,Brilliant School -Communication,Communication,,State Board,30K-60K,Less than 300,300,1200,360000,3.60,New-25-26,Full year
116,25-26,Feb'25,South 1,Hyderabad,Pre Sales,Thanuja,Noor,Noor-Communication,Communication,,State Board,LESS THAN 30K,Less than 300,300,1150,345000,3.45,New-25-26,Full year
117,25-26,Feb'25,West,Pune,Referral,Shantanu,Fortune 1,Fortune 1-Financial Literacy,Financial Literacy,,CBSE,30K-60K,301 - 500,400,1000,400000,4.00,Renewal-25-26,Full year
118,25-26,Feb'25,West,Pune,Referral,Shantanu,Fortune 2,Fortune 2-Communication,Communication,,CBSE,30K-60K,301 - 500,400,1000,400000,4.00,New 25-26 - Dropped,Full year
119,25-26,Feb'25,West,Pune,Referral,Shantanu,Fortune 3,Fortune 3-Communication,Communication,,CBSE,30K-60K,301 - 500,400,1000,400000,4.00,New 25-26 - Dropped,Full year
120,25-26,Feb'25,South 2,Hyderabad,Direct,Thanuja,Fountain head,Fountain head-Communication,Communication,,CBSE,30K-60K,Less than 300,250,1200,300000,3.00,New-25-26,Full year
121,25-26,Feb'25,South 2,Hyderabad,Direct,Thanuja,Fountain head,Fountain head-STEM,STEM,,CBSE,30K-60K,Less than 300,250,1800,450000,4.50,New-25-26,Full year
122,25-26,Feb'25,North,Delhi,Referral,Poonam,"New Greenfield, Alaknanda","New Greenfield, Alaknanda-Financial Literacy",Financial Literacy,,CBSE,60K-90K,501-750,600,1200,720000,7.20,New-25-26,Full year
123,25-26,Feb'25,South 2,Chennai,Direct,Gayathiri,Shakthi Public School ,Shakthi Public School -Communication,Communication,,CBSE,60K-90K,501-750,600,1100,660000,6.60,New-25-26,Full year
124,25-26,Feb'25,South 2,Chennai,Direct,Gayathiri,Shakthi Public School ,Shakthi Public School -Financial Literacy,Financial Literacy,,CBSE,60K-90K,Less than 300,250,1200,300000,3.00,New-25-26,Full year
125,25-26,Feb'25,South 2,Chennai,Direct,Gayathiri,Vishwakshena Group Schools,Vishwakshena Group Schools-Communication,Communication,,CBSE,60K-90K,301 - 500,500,1200,600000,6.00,New-25-26,Full year
126,25-26,Feb'25,West,Mumbai,,Kshitija,Omkar Cambridge International School,Omkar Cambridge International School-STEM,STEM,,ICSE,30K-60K,301 - 500,451,1500,676500,6.77,Renewal 25-26 - Dropped,Full year
127,25-26,Feb'25,West,Mumbai,,Kshitija,Omkar Cambridge International School,Omkar Cambridge International School-Financial Literacy,Financial Literacy,,ICSE,30K-60K,Less than 300,258,1000,258000,2.58,Renewal 25-26 - Dropped,Full year
128,25-26,Feb'25,West,Mumbai,,Kshitija,Rosary International,Rosary International-STEM,STEM,,State Board,60K-90K,Less than 300,240,1400,336000,3.36,Renewal-25-26,Full year
129,25-26,Feb'25,West,Mumbai,,Kshitija,Anand Vishwa Gurukul and Junior College,Anand Vishwa Gurukul and Junior College-Financial Literacy,Financial Literacy,,State Board,30K-60K,Above 1000,1362,1100,1498200,14.98,Renewal-25-26,Full year
130,25-26,Feb'25,West,Mumbai,,Kshitija,LB Joshi,LB Joshi-Communication,Communication,,CBSE,30K-60K,Above 1000,1060,926,981560,9.82,Renewal-25-26,Full year
131,25-26,Feb'25,West,Mumbai,,Kshitija,LB Joshi,LB Joshi-Financial Literacy,Financial Literacy,,CBSE,30K-60K,Less than 300,140,926,129640,1.30,Renewal-25-26,Full year
132,25-26,Feb'25,North,Jaipur,,Kshitija,Mayoor,Mayoor-Communication,Communication,,CBSE,ABOVE 120K,301 - 500,325,2000,650000,6.50,Renewal-25-26,Full year
133,25-26,Feb'25,North,Delhi,,Poonam,Hemnani public school,Hemnani public school-STEM,STEM,,CBSE,30K-60K,301 - 500,359,1800,646200,6.46,Renewal-25-26,Full year
134,25-26,Feb'25,North,Delhi,,Poonam,"New Greenfield School, Saket","New Greenfield School, Saket-Financial Literacy",Financial Literacy,,CBSE,60K-90K,751 - 1000,800,1200,960000,9.60,Renewal-25-26,Full year
135,25-26,Feb'25,North,Delhi,,Poonam,Shadley Public School,Shadley Public School-Communication,Communication,,CBSE,30K-60K,501-750,748,1280,957440,9.57,Renewal-25-26,Full year
136,25-26,Feb'25,North,Delhi,,Poonam,Shadley Public School,Shadley Public School-STEM,STEM,,CBSE,30K-60K,501-750,678,1480,1003440,10.03,Renewal-25-26,Full year
137,25-26,Feb'25,West,Pune,Direct,Shantanu,Vedh Valley ,Vedh Valley -Financial Literacy,Financial Literacy,,CBSE,30K-60K,301 - 500,330,1197,395000,3.95,New-25-26,Full year
138,25-26,Mar'25,South 1,Hyderabad,Direct,Thanuja,Vaishnavi Group of Schools - 1,Vaishnavi Group of Schools - 1-Communication,Communication,,State Board,30K-60K,Less than 300,300,1000,300000,3.00,New-25-26,Full year
139,25-26,Mar'25,South 1,Hyderabad,Direct,Thanuja,Vaishnavi Group of Schools - 2,Vaishnavi Group of Schools - 2-Communication,Communication,,State Board,30K-60K,301 - 500,400,1000,400000,4.00,New-25-26,Full year
140,25-26,Mar'25,South 1,Hyderabad,Direct,Thanuja,Vaishnavi Group of Schools - 3,Vaishnavi Group of Schools - 3-Communication,Communication,,State Board,30K-60K,301 - 500,500,1000,500000,5.00,New-25-26,Full year
141,25-26,Mar'25,South 1,Hyderabad,Direct,Thanuja,Vaishnavi Group of Schools - 4,Vaishnavi Group of Schools - 4-Communication,Communication,,State Board,30K-60K,301 - 500,500,1000,500000,5.00,New-25-26,Full year
142,25-26,Mar'25,South 1,Hyderabad,Direct,Thanuja,Vivekananda Vidhyaniketan High School,Vivekananda Vidhyaniketan High School-Communication,Communication,,State Board,30K-60K,Less than 300,300,1284,385200,3.85,New-25-26,Full year
143,25-26,Mar'25,South 2,Coimbatore,Pre Sales,Shafique,Al Fathah English School,Al Fathah English School-Communication,Communication,,CBSE,30K-60K,301 - 500,450,1454,654300,6.54,New-25-26,Full year
144,25-26,Mar'25,South 2,Chennai,Pre Sales,Gayathiri,Loyola Matriculation ,Loyola Matriculation -Communication,Communication,,State Board,60K-90K,501-750,700,1370,959000,9.59,New-25-26,Full year
145,25-26,Mar'25,South 2,Hyderabad,Pre Sales,Thanuja,Tagore High School ,Tagore High School -Communication,Communication,,State Board,LESS THAN 30K,301 - 500,400,1300,520000,5.20,New-25-26,Full year
146,25-26,Mar'25,South 1,Bangalore,Referral,Sudha,Carmel High School ,Carmel High School -Communication,Communication,,ICSE,60K-90K,751 - 1000,760,1624,1234240,12.34,New-25-26,Full year
147,25-26,Mar'25,West,Mumbai,Direct,Rohit Gadre,"Omkar English Medium, Dombivali ","Omkar English Medium, Dombivali -Communication",Communication,,CBSE,30K-60K,301 - 500,316,1000,316000,3.16,New-25-26,Full year
148,25-26,Mar'25,West,Mumbai,Direct,Rohit Gadre,"Omkar English Medium, Thakurli","Omkar English Medium, Thakurli-Communication",Communication,,CBSE,30K-60K,301 - 500,319,1000,319000,3.19,New-25-26,Full year
149,25-26,Mar'25,North,Delhi,Direct,Poonam,Greater Noida Podar Learn School,Greater Noida Podar Learn School-STEM,STEM,,CBSE,60K-90K,Less than 300,180,1754,315763,3.16,New-25-26,Full year
150,25-26,Mar'25,South 2,Coimbatore,Pre Sales,Shafique,Labour India,Labour India-Communication,Communication,,CBSE,90K-120K,Less than 300,200,1666,333200,3.33,New-25-26,Full year
151,25-26,Mar'25,West,Mumbai,,Kshitija,Auxilium Convent High School,Auxilium Convent High School-Communication,Communication,,State Board,30K-60K,301 - 500,356,1200,427200,4.27,Renewal-25-26,Full year
152,25-26,Mar'25,West,Mumbai,,Kshitija,Auxilium Convent High School,Auxilium Convent High School-STEM,STEM,,State Board,30K-60K,751 - 1000,893,1300,1160900,11.61,Renewal-25-26,Full year
153,25-26,Mar'25,West,Mumbai,,Kshitija,Finland International School,Finland International School-Communication,Communication,,IGCSE,90K-120K,501-750,571,1150,656650,6.57,Renewal-25-26,Full year
154,25-26,Mar'25,West,Mumbai,,Kshitija,Indo Scots Global School,Indo Scots Global School-STEM,STEM,,CBSE,60K-90K,751 - 1000,819,1500,1228500,12.29,Renewal-25-26,Full year
155,25-26,Mar'25,North,Delhi,,Poonam,JBM Global School,JBM Global School-Communication,Communication,,CBSE,90K-120K,501-750,702,826,579852,5.80,Renewal-25-26,Full year
156,25-26,Mar'25,North,Delhi,,Poonam,JBM Global School,JBM Global School-STEM,STEM,,CBSE,90K-120K,301 - 500,322,1534,493948,4.94,Renewal-25-26,Full year
157,25-26,Mar'25,West,Mumbai,,Kshitija,Lokmanya Int School kopar,Lokmanya Int School kopar-STEM,STEM,,CBSE,30K-60K,751 - 1000,979,1250,1223750,12.24,Renewal-25-26,Full year
158,25-26,Mar'25,West,Mumbai,,Kshitija,NKT English Medium School,NKT English Medium School-Communication,Communication,,State Board,30K-60K,501-750,630,800,504000,5.04,Renewal-25-26,Full year
159,25-26,Mar'25,West,Mumbai,,Kshitija,NKT English Medium School,NKT English Medium School-STEM,STEM,,State Board,30K-60K,501-750,630,800,504000,5.04,Renewal-25-26,Full year
160,25-26,Mar'25,North,Jaipur,,Kshitija,Sneh Public School,Sneh Public School-Communication,Communication,,CBSE,30K-60K,Less than 300,261,1400,365400,3.65,Renewal-25-26,Full year
161,25-26,Mar'25,West,Pune,,Kshitija,Success English Medium School,Success English Medium School-Communication,Communication,,CBSE,30K-60K,301 - 500,332,1200,398400,3.98,Renewal-25-26,Full year
162,25-26,Mar'25,West,Pune,,Kshitija,Success English Medium School,Success English Medium School-Financial Literacy,Financial Literacy,,CBSE,30K-60K,Less than 300,190,1200,228000,2.28,Renewal-25-26,Full year
163,25-26,Mar'25,West,Mumbai,,Rohit Gadre,Royal International,Royal International-STEM,STEM,,CBSE,30K-60K,Above 1000,1865,938,1750000,17.50,Renewal-25-26,Full year
164,25-26,Mar'25,West,Mumbai,FSM,Kshitija,RN Shah International School,RN Shah International School-Communication,Communication,,IGCSE,ABOVE 120K,301 - 500,273,2119,578487,5.78,Renewal-25-26,Full year
165,25-26,Mar'25,West,Goa,Management,Management,Goa-1,Goa-1-STEM,STEM,,State Board,LESS THAN 30K,Less than 300,146,3104,453200,4.53,New-25-26,Full Year
166,25-26,Mar'25,West,Goa,Management,Management,Goa-2,Goa-2-STEM,STEM,,State Board,LESS THAN 30K,Less than 300,146,3104,453200,4.53,New-25-26,Full Year
167,25-26,Mar'25,West,Goa,Management,Management,Goa-3,Goa-3-STEM,STEM,,State Board,LESS THAN 30K,Less than 300,146,3104,453200,4.53,New-25-26,Full Year
168,25-26,Mar'25,West,Goa,Management,Management,Goa-4,Goa-4-STEM,STEM,,State Board,LESS THAN 30K,Less than 300,146,3104,453200,4.53,New-25-26,Full Year
169,25-26,Mar'25,West,Goa,Management,Management,Goa-5,Goa-5-STEM,STEM,,State Board,LESS THAN 30K,Less than 300,146,3104,453200,4.53,New-25-26,Full Year
170,25-26,Mar'25,West,Goa,Management,Management,Goa-6,Goa-6-STEM,STEM,,State Board,LESS THAN 30K,Less than 300,146,3104,453200,4.53,New-25-26,Full Year
171,25-26,Mar'25,West,Goa,Management,Management,Goa-7,Goa-7-STEM,STEM,,State Board,LESS THAN 30K,Less than 300,146,3104,453200,4.53,New-25-26,Full Year
172,25-26,Mar'25,West,Goa,Management,Management,Goa-8,Goa-8-STEM,STEM,,State Board,LESS THAN 30K,Less than 300,146,3104,453200,4.53,New-25-26,Full Year
173,25-26,Mar'25,South 1,Hyderabad,Direct,Thanuja,"Unicent School, Bowrampet","Unicent School, Bowrampet-Financial Literacy",Financial Literacy,,CBSE,ABOVE 120K,Less than 300,230,1200,276000,2.76,New-25-26,Full year
174,25-26,Mar'25,South 1,Hyderabad,Direct,Thanuja,Vasishta Educational Society - 1,Vasishta Educational Society - 1-Communication,Communication,,CBSE,60K-90K,Less than 300,205,1454,298119,2.98,Renewal-25-26,Full year
175,25-26,Mar'25,South 1,Hyderabad,Direct,Thanuja,Vasishta Educational Society - 2,Vasishta Educational Society - 2-Communication,Communication,,CBSE,60K-90K,Less than 300,75,1454,109068,1.09,New-25-26,Full year
176,25-26,Mar'25,South 1,Hyderabad,Direct,Thanuja,Vasishta Educational Society - 3,Vasishta Educational Society - 3-Communication,Communication,,CBSE,60K-90K,Less than 300,75,1454,109068,1.09,New-25-26,Full year
177,25-26,Mar'25,West,Pune,Direct,Shantanu,Wonderland,Wonderland-Communication,Communication,,State Board,60K-90K,751 - 1000,1000,900,900000,9.00,New 25-26 - Dropped,Full year
178,25-26,Mar'25,West,Pune,Direct,Shantanu,Wonderland,Wonderland-STEM,STEM,,State Board,60K-90K,751 - 1000,1000,1200,1200000,12.00,New-25-26,Full year
179,25-26,Apr'25,West,Pune,Direct,Kshitija,Kline Memorial School,Kline Memorial School-Communication,Communication,,ICSE,30K-60K,751 - 1000,783,1050,822150,8.22,Renewal-25-26,Full year
