Sr. No.,Academic Year,Month od school onboarding,Region,City,Channel,POC,School Name,School and Program,Program,Grade,Board,Fees Range,Strength Range,Strength,Rev/ student,Sum Product,Total Business,Category,Full year/ mid year
210,25-26,Apr'25,West,Ayodhya,Management,Management,Ayodhya-7,Ayodhya-7-STEM,STEM,,CBSE,LESS THAN 30K,301 - 500,500,1302,651000,6.51,New-25-26,Full year
211,25-26,Apr'25,West,Ayodhya,Management,Management,Ayodhya-8,Ayodhya-8-STEM,STEM,,CBSE,LESS THAN 30K,301 - 500,500,1302,651000,6.51,New-25-26,Full year
212,25-26,Apr'25,West,Ayodhya,Management,Management,Ayodhya-9,Ayodhya-9-STEM,STEM,,CBSE,LESS THAN 30K,301 - 500,500,1302,651000,6.51,New-25-26,Full year
213,25-26,Apr'25,West,Ayodhya,Management,Management,Ayodhya-10,Ayodhya-10-STEM,STEM,,CBSE,LESS THAN 30K,301 - 500,500,1302,651000,6.51,New-25-26,Full year
214,25-26,Apr'25,North,Delhi,Direct,Poonam,Paras Public School,Paras Public School-STEM,STEM,,CBSE,60K-90K,Less than 300,217,1500,325500,3.26,Renewal-25-26,Full Year
215,25-26,Apr'25,South 2,Coimbatore,Direct,Shafique,Sri Narayana Mission,Sri Narayana Mission-Communication,Communication,,State Board,LESS THAN 30K,301 - 500,416,1497,622590,6.23,New 25-26 - Dropped,Full year
216,25-26,May'25,North,Lucknow,Channel Partner,Naziya Khan,St. Agnes Loreto Day School,St. Agnes Loreto Day School-STEM,STEM,,ICSE,30K-60K,301 - 500,354,1800,637200,6.37,New-25-26,Full year
217,25-26,May'25,North,Jaipur,Management,Kshitija,Sine International,Sine International-Communication,Communication,,State Board,30K-60K,301 - 500,380,1300,494000,4.94,Renewal-25-26,Full year
218,25-26,May'25,North,Delhi,Direct,Poonam,DAV,DAV-STEM,STEM,,CBSE,30K-60K,Less than 300,150,1585,237712,2.38,New-25-26,Full year
219,25-26,May'25,North,Delhi,Direct,Gayathiri,RMK Resedential Senior Secondary School,RMK Resedential Senior Secondary School-Communication,Communication,,CBSE,LESS THAN 30K,Less than 300,170,1708,290360,2.90,Renewal-25-26,Full year
220,25-26,May'25,South 1,Bangalore,Direct,Sudha,New Oxford Sarjapur,New Oxford Sarjapur-Communication,Communication,,CBSE,60K-90K,751 - 1000,800,930,744000,7.44,Renewal-25-26,Full year
221,25-26,May'25,South 1,Bangalore,Direct,Sudha,New Oxford Jigni,New Oxford Jigni-Communication,Communication,,CBSE,60K-90K,501-750,750,930,697500,6.98,Renewal-25-26,Full year
222,25-26,May'25,West,Pune,Direct,Shantanu Khatwar,Span International,Span International-Communication,Communication,,ICSE,30K-60K,301 - 500,361,1500,541500,5.42,Renewal-25-26,Full year
